id,title,location,category,price,poster,date_posted,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
131,Recherche modèle pour séance photos,Photographe - Lyon (69000),N/A,A définir,Krystofe,01/11/2025,N/A,N/A,No,N/A,Bonjour,listing_page,No,https://www.jemepropose.com/annonces/photographe/recherche-modele-pour-seance-photos+10496353/
132,Ménage,Ménage - Sevran (93270),N/A,A définir,tatiana.tm84,31/10/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/menage+10496307/
133,Je vais te donner les secrets des RH pour te rendre irrésistible sur le marché du travail,Ressources Humaines - Pérols (34470),N/A,A définir,Consultingmk,31/10/2025,N/A,N/A,No,N/A,"Vous saviez combien de temps un recruteur passe à analyser un CV ?3 secondes.Oui, 3 secondes pour décider si votre profil mérite d’être...",listing_page,No,https://www.jemepropose.com/annonces/ressources-humaines/je-vais-te-donner-les-secrets-des-rh-pour-te-rendre-irresistible-sur-le-marche-du-travail+10496304/
134,"Garde privée – Surveillance, accompagnement et aide à la personne (Annemasse / Genève / Haute-Savoie)",Auxiliaire de vie - Annemasse (74100),N/A,Sur devis,lugdivinekore94,31/10/2025,N/A,N/A,No,N/A,"Discrète, sérieuse et digne de confiance, je mets à votre service mon expérience dans la surveillance privée, l’accompagnement personnalisé et...",listing_page,No,https://www.jemepropose.com/annonces/auxiliaire-de-vie/garde-privee-surveillance-accompagnement-et-aide-a-la-personne-annemasse-geneve-haute-savoie+10496293/
135,Personne âgée,Auxiliaire de vie - Le Puy-en-Velay (43000),N/A,A définir,albaneodier43,30/10/2025,N/A,N/A,No,N/A,Bonjour,listing_page,No,https://www.jemepropose.com/annonces/auxiliaire-de-vie/personne-agee+10496254/
136,Recherche auxiliaire de vie à domicile,Auxiliaire de vie - Rambouillet (78120),N/A,A définir,MAKEBA,29/10/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/auxiliaire-de-vie/recherche-auxiliaire-de-vie-a-domicile+10496209/
137,Téléprospection – Énergie Renouvelable (Paris 19e),Téléprospecteur - Paris (75000),N/A,A définir,samysnoussi10,29/10/2025,N/A,N/A,No,N/A,"Tu es motivé(e), à l’aise au téléphone et tu veux gagner de l’argent selon tes résultats ?",listing_page,No,https://www.jemepropose.com/annonces/teleprospecteur/teleprospection-energie-renouvelable-paris-19e+10496203/
138,Recherche serveur,Serveuse - Écouis (27440),N/A,A définir,DelphineVacher,28/10/2025,N/A,N/A,No,N/A,"Bonjour,je suis à la recherche de 2 serveurs pour les 18 ans de mon fils.",listing_page,No,https://www.jemepropose.com/annonces/serveuse/recherche-serveur+10496118/
139,AUTO ECOLE FRANCE,Assistance juridique - Nantes (44000),N/A,Sur devis,codeEtPermis00432,28/10/2025,N/A,N/A,No,N/A,Bonjour à tousje suis dispo pour tous vous accompagner lors de vos démarches :Code de la routepermis de conduiretitre de...,listing_page,No,https://www.jemepropose.com/annonces/assistance-juridique/auto-ecole-france+10496114/
140,"ménage ,repassage",Ménage - Belin-Béliet (33830),N/A,15.00 € - De l'heure,nathami,27/10/2025,N/A,N/A,No,N/A,"Nathalie, de Belin-Beliet, 21ans d'expérience auprès des particuliers ,cherche heures de ménage ,repassage.",listing_page,No,https://www.jemepropose.com/annonces/menage/menage-repassage+10496080/
141,m'occuper de vos animaux,Garde d'animaux - Nancy (54000),N/A,10.00 € - De l'heure,poirsonchloe05,27/10/2025,N/A,N/A,No,N/A,bonsoir je recherche quelqu'un qui recherche pour promener son chien ou même le garder,listing_page,No,https://www.jemepropose.com/annonces/garde-d-animaux/moccuper-de-vos-animaux+10496044/
142,Recherche cuisinière à domicile,Cuisine à domicile - Lyon 7e arrondissement (69007),N/A,A définir,nora631,26/10/2025,N/A,N/A,No,N/A,Je recherche une personne capable de m'aider pour préparer des plats à la semaine ou plusieurs jours pour une famille de 4 personnes. Afin de...,listing_page,No,https://www.jemepropose.com/annonces/cuisine-a-domicile/recherche-cuisiniere-a-domicile+10496001/
143,cherche gardes de nuit chez personne agee,Auxiliaire de vie - Vendays-Montalivet (33930),N/A,A définir,evelyne.grn,25/10/2025,N/A,N/A,No,N/A,"Bonjour je recherche des gardes de nuit chez une personne agee , a partir du mois de novembre 2025 , je suis une personne  qui est tres...",listing_page,No,https://www.jemepropose.com/annonces/auxiliaire-de-vie/cherche-gardes-de-nuit-chez-personne-agee+10495975/
144,Maison avec jardin et piscine en gardiennage 1 mois,Gardiennage de domicile - Nouméa (98800),N/A,Gratuit,98Aurore,25/10/2025,N/A,N/A,No,N/A,"Nous recherchons quelqu'un (personne seule, couple ou famille) pour habiter et prendre soin de notre maison, notre jardin et nos animaux (1...",listing_page,No,https://www.jemepropose.com/annonces/gardiennage-de-domicile/maison-avec-jardin-et-piscine-en-gardiennage-1-mois+10495965/
145,Femme de Ménage à votre service,Ménage - Lille (59000),N/A,13.00 € - De l'heure,Miimii32,24/10/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/femme-de-menage-a-votre-service+10495925/
146,Taches ménagères et garde d'enfant,Garde d'enfants - Cabriès (13480),N/A,15.00 € - De l'heure,smota,23/10/2025,N/A,N/A,No,N/A,"Bonjour, nous recherchons quelqu'un pour réaliser des taches ménagères à notre domicile et également récupérer notre enfant (7 ans) à son école...",listing_page,No,https://www.jemepropose.com/annonces/garde-d-enfants/taches-menageres-et-garde-denfant+10495858/
147,RECHERCHE GOUVERNANTE,Gouvernante - Lagraulet-du-Gers (32330),N/A,A définir,virginieLorenzato,22/10/2025,N/A,N/A,No,N/A,"Bonjour, je suis à la recherche d'une gouvernant pour une résidence principale. Les missions vont de l'entretien générale de la maison au...",listing_page,No,https://www.jemepropose.com/annonces/gouvernante/recherche-gouvernante+10495796/
148,MENAGE DE PRINTEMPS (ET DES 3 AUTRES SAISONS),Ménage - Rennes (35000),N/A,15.00 € - Forfait,Daff'71,21/10/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/menage-de-printemps-et-des-3-autres-saisons+10495753/
149,Secrétariat à distance,Secrétariat - Limoges-Fourches (77550),N/A,A définir,Tess@secrétariat,20/10/2025,N/A,N/A,Yes,N/A,"Vous recherchez un service de secrétariat à distance lors de vos vacances, vous avez un surplus de travail ou tout simplement vous souhaitez...",listing_page,No,https://www.jemepropose.com/annonces/secretariat/secretariat-a-distance+10495683/
150,"Assistant(e) d’entretien et d’accueil – Appartement haut de gamme (quartier Bourg Lévêque, Rennes)",Conciergerie Airbnb - Rennes (35000),N/A,15.00 € - De l'heure,Fr.A,19/10/2025,N/A,N/A,No,N/A,Nous recherchons une personne de confiance pour une collaboration humaine et durable autour d’un appartement haut de gamme situé à Bourg...,listing_page,No,https://www.jemepropose.com/annonces/conciergerie/assistante-dentretien-et-daccueil-appartement-haut-de-gamme-quartier-bourg-leveque-rennes+10495632/
151,Reherche une auxiliaire de vie,Auxiliaire de vie - Nantes (44000),N/A,2100.00 € - Au mois,cordacyril,19/10/2025,N/A,N/A,No,N/A,Nous recherchons une auxiliaire ou une personne majeure dans la région pour la garde de nos notre mère.,listing_page,No,https://www.jemepropose.com/annonces/auxiliaire-de-vie/reherche-une-auxiliaire-de-vie+10495620/
152,Kreolity Hair Spa recherche une coiffeuse indépendante,Coiffure - Saint-François (97118),N/A,A définir,shirley97,17/10/2025,N/A,N/A,No,N/A,"Je recherche une collaboratrice coiffeuse indépendante pour rejoindre mon équipe au Kreolity Hair Spa, à Saint-François 🌿",listing_page,No,https://www.jemepropose.com/annonces/coiffure/kreolity-hair-spa-recherche-une-coiffeuse-independante+10495564/
153,"Recherche équipe de ménage pour locations courte durée, Ménage et gestion du linge en auto-entrepreneur. IMPERATIF !",Ménage - Sauve (30610),N/A,A définir,coralie.bergel,16/10/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/recherche-equipe-de-menage-pour-locations-courte-duree-menage-et-gestion-du-linge-en-auto-entrepreneur-imperatif+10495473/
154,recherche modèle photo pour projet rémunéré,Modèle photo - Paris 15e arrondissement (75015),N/A,100.00 € - De l'heure,photodartparis,15/10/2025,N/A,N/A,No,N/A,"Photographe passionné basé à Paris, je suis à la recherche d’une modèle pour un shooting créatif (portrait, mode, urbain, artistique,...",listing_page,No,https://www.jemepropose.com/annonces/modele-photo/recherche-modele-photo-pour-projet-remunere+10492744/
155,Recherche serveurs(es) pour un mariage,Serveuse - Grivesnes (80250),N/A,A définir,leroydimitri1981,14/10/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/serveuse/recherche-serveurses-pour-un-mariage+10495379/
156,Pilone,Conciergerie Airbnb - Vars (05560),N/A,20.00 € - De l'heure,PILONE,14/10/2025,N/A,N/A,No,N/A,Ménage et changement linge maison dans T2/T3 en location saisonnière,listing_page,No,https://www.jemepropose.com/annonces/conciergerie/pilone+10495365/
157,Recherche modèle Homme/Femme,Coiffure - Rennes (35000),N/A,A définir,GABCHOW,13/10/2025,N/A,N/A,No,N/A,RECHERCHE MODÈLES FEMME/HOMME – BP Coiffure,listing_page,No,https://www.jemepropose.com/annonces/coiffure/recherche-modele-hommefemme+10495350/
158,Service pour apéritif et diner anniversaire,Serveuse - Saint-Marcel-lès-Valence (26320),N/A,19.72 € - De l'heure,les chapy,12/10/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/serveuse/service-pour-aperitif-et-diner-anniversaire+10495301/
